author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex,house_material_type,year_construction
СмениКварти.Ру,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308208032/,Красногорск,sale,flat,24,26,2,62.3,10750000.0,, Игоря Мерлушкина,3,Аникеевка,Изумрудные холмы,,
Наталья Балескова,realtor,https://krasnogorsk.cian.ru/sale/flat/293955439/,Красногорск,sale,flat,20,25,1,32.8,6500000.0,,Ильинский тупик,,Павшино,Ильинойс,,
Отрада Вилладж,representative_developer,https://krasnogorsk.cian.ru/sale/flat/306771711/,Красногорск,sale,flat,1,6,1,33.9,8376728.0,,,к12,Аникеевка,Никольский Квартал Отрада ЖК,,
Росэлторг,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307785281/,Красногорск,sale,flat,1,8,1,40.7,6129000.0,, Пришвина,15,Опалиха,Опалиха О3,,
Голдвин Груп,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307442118/,Красногорск,sale,flat,4,25,1,39.4,10500000.0,,бульвар Красногорский,10,Пенягино,,,
Садовое кольцо,developer,https://krasnogorsk.cian.ru/sale/flat/307229980/,Красногорск,sale,flat,14,25,2,67.8,18109516.0,,,к6,Павшино,М 5 ЖК,,
Юлия Чуркина,realtor,https://krasnogorsk.cian.ru/sale/flat/307662684/,Красногорск,sale,flat,8,9,1,34.2,6500000.0,, Ленина,47к1,Пенягино,,,
НДВ,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/302085710/,Красногорск,sale,flat,3,5,1,35.0,5800000.0,, Ткацкой фабрики,24,Аникеевка,,,
СИТИ21,developer,https://krasnogorsk.cian.ru/sale/flat/263217624/,Красногорск,sale,flat,4,6,2,48.5,13862587.0,,аллея Золотая,1,Опалиха,8 кленов,,
MOTYLEK - департамент недвижимости,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/305070537/,Красногорск,sale,flat,2,6,2,45.0,8500000.0,, Дежнева,6,Опалиха,,,
Этажи Москва,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307544020/,Красногорск,sale,flat,2,25,2,41.88,8290000.0,,,к1,Павшино,Ильинойс ЖК,,
Садовое кольцо,developer,https://krasnogorsk.cian.ru/sale/flat/308818814/,Красногорск,sale,flat,21,28,2,59.5,15167978.0,,,к8,Павшино,Тетрис ЖК,,
Лариса Абаева,realtor,https://krasnogorsk.cian.ru/sale/flat/307746124/,Красногорск,sale,flat,22,25,1,38.0,9400000.0,,бульвар Ильинский,2А,Пенягино,Павшинская пойма мкрн. 4,,
Бест на Речном,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/306154885/,Красногорск,sale,flat,3,16,1,43.0,10000000.0,,бульвар Павшинский,5,Пенягино,,,
Отрада Вилладж,representative_developer,https://krasnogorsk.cian.ru/sale/flat/306771716/,Красногорск,sale,flat,1,6,1,22.5,5956902.0,,,к12,Аникеевка,Никольский Квартал Отрада ЖК,,
Олеся Захарова,realtor,https://krasnogorsk.cian.ru/sale/flat/301087531/,Красногорск,sale,flat,21,25,2,55.4,10269000.0,,бульвар Космонавтов,7,Опалиха,Изумрудные холмы,,
МГСН,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/306123976/,Красногорск,sale,flat,15,17,2,50.6,9900000.0,, Народного Ополчения,2Бк2,Митино,Брусчатый поселок,,
Самолет,developer,https://krasnogorsk.cian.ru/sale/flat/308656171/,Красногорск,sale,flat,11,30,1,46.7,18294485.0,,,20,Липовая Роща,Спутник ЖК,,
Алефтина Кадырова,realtor,https://krasnogorsk.cian.ru/sale/flat/308061870/,Красногорск,sale,flat,6,9,2,52.2,8250000.0,, Ленина,27,Павшино,,,
Монолит Столица,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308113214/,Красногорск,sale,flat,5,17,1,53.0,10000000.0,, Жуковского,11,Павшино,Grand Hills,,
СИТИ21,developer,https://krasnogorsk.cian.ru/sale/flat/276781350/,Красногорск,sale,flat,1,6,1,39.0,12280212.0,,аллея Золотая,1,Опалиха,8 кленов,,
Империя,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/297379526/,Красногорск,sale,flat,9,13,1,38.0,8600000.0,,Строительная ,3,Павшино,,,
WHITE BROKER,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308350770/,Красногорск,sale,flat,6,8,2,61.0,7700000.0,, Алексеевская,3,Аникеевка,Опалиха Парк,,
Отрада Вилладж,representative_developer,https://krasnogorsk.cian.ru/sale/flat/299375286/,Красногорск,sale,flat,6,6,1,36.1,7438780.0,,,к13,Аникеевка,Никольский Квартал Отрада ЖК,,
Ольга Руснак,realtor,https://krasnogorsk.cian.ru/sale/flat/302732300/,Красногорск,sale,flat,3,12,2,60.0,9600000.0,, Ткацкой фабрики,23,Аникеевка,,,
Самолет Плюс Красногорск,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/303637448/,Красногорск,sale,flat,1,9,2,43.5,7950000.0,, 50 лет Октября,2/37,Красногорская,,,
Этажи Москва,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/304107129/,Красногорск,sale,flat,14,28,1,34.8,8400000.0,,,к18,Липовая Роща,Спутник ЖК,,
Самолет Плюс Москва ЦАО,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307442227/,Красногорск,sale,flat,7,9,2,49.9,8400000.0,, Ленина,51,Опалиха,,,
ЕГСН Продажа,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/302954551/,Красногорск,sale,flat,10,10,2,50.9,8499999.0,, Братьев Горожанкиных,14,Красногорская,,,
Денис Александров,realtor,https://krasnogorsk.cian.ru/sale/flat/297206789/,Красногорск,sale,flat,5,17,1,39.5,8400000.0,,бульвар Южный,2,Павшино,,,
ОГРК,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308570942/,Красногорск,sale,flat,15,24,2,41.8,8500000.0,,,,Красногорская,Ильинойс ЖК,,
Качанова и партнеры,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307128810/,Красногорск,sale,flat,5,32,1,36.5,8500000.0,, Липовой Рощи,4к1,Мякинино,Sky Sputnik,,
Наталия Секриеру,realtor,https://krasnogorsk.cian.ru/sale/flat/308241256/,Красногорск,sale,flat,6,9,2,44.3,8500000.0,, Кирова,28,Пенягино,,,
Евгений Добромыслов,realtor,https://krasnogorsk.cian.ru/sale/flat/308595811/,Красногорск,sale,flat,20,24,1,46.1,8500000.0,,бульвар Космонавтов,1,Опалиха,Изумрудные холмы,,
Татьяна Загоренко,realtor,https://krasnogorsk.cian.ru/sale/flat/308367276/,Красногорск,sale,flat,12,33,1,31.4,8500000.0,, Липовой Рощи,2к3,Мякинино,Sky Sputnik,,
FN Realty,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/306824560/,Красногорск,sale,flat,2,4,2,43.6,8500000.0,, Геологов,4,Опалиха,,,
Владис,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/306919240/,Красногорск,sale,flat,10,24,1,37.6,8500000.0,, Игоря Мерлушкина,12,Опалиха,Изумрудные холмы,,
Магазин квартир,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307936972/,Красногорск,sale,flat,20,22,1,40.0,8500000.0,,бульвар Южный,6,Павшино,,,
Самолет Плюс Красногорск,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/304820490/,Красногорск,sale,flat,9,17,1,38.5,8500000.0,, Королева,9,Павшино,,,
Самолет плюс,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/301528165/,Красногорск,sale,flat,10,31,1,35.65,8500000.0,,,к14,Липовая Роща,Спутник ЖК,,
Надежда Подольская,realtor,https://krasnogorsk.cian.ru/sale/flat/291598917/,Красногорск,sale,flat,6,12,2,47.4,8500000.0,, Комсомольская,45,Красногорская,,,
Dream Realty,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307679435/,Красногорск,sale,flat,3,4,1,43.0,8600000.0,,аллея Золотая,2,Опалиха,8 кленов,,
Major-Недвижимость,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307706427/,Красногорск,sale,flat,13,17,1,46.0,8600000.0,,Успенская ,24,Опалиха,,,
ZIP Realty,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308786221/,Красногорск,sale,flat,2,6,2,40.3,8600000.0,,аллея Золотая,4,Опалиха,8 кленов,,
Павел Колеевский,realtor,https://krasnogorsk.cian.ru/sale/flat/308152152/,Красногорск,sale,flat,8,8,1,32.0,8600000.0,, Пришвина,9,Опалиха,Опалиха О3,,
Андрей  Грибанов,realtor,https://krasnogorsk.cian.ru/sale/flat/308787507/,Красногорск,sale,flat,10,14,2,54.0,8700000.0,, Карбышева,17к2,Опалиха,,,
Татьяна Иванова,realtor,https://krasnogorsk.cian.ru/sale/flat/307725376/,Красногорск,sale,flat,7,17,1,44.2,9150000.0,, Народного Ополчения,2Бк2,Митино,Брусчатый поселок,,
ID 33031,realtor,https://krasnogorsk.cian.ru/sale/flat/306906790/,Красногорск,sale,flat,2,16,1,39.0,9200000.0,,бульвар Павшинский,5,Пенягино,,,
Илья Дулепа,realtor,https://krasnogorsk.cian.ru/sale/flat/305686214/,Красногорск,sale,flat,5,5,2,44.6,9200000.0,, Циолковского,18,Красногорская,,,
Акапелла недвижимость,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/294829578/,Красногорск,sale,flat,3,25,1,46.4,9300000.0,,Заводская ,18к3,Павшино,мкрн. Южный (Ул. Заводская корп. 31),,
Наталья Сиденко,realtor,https://krasnogorsk.cian.ru/sale/flat/301382913/,Красногорск,sale,flat,12,26,2,62.4,9300000.0,, Игоря Мерлушкина,3,Опалиха,Изумрудные холмы,,
Самолет Плюс,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/306658426/,Красногорск,sale,flat,10,34,1,35.2,9300000.0,,,к13,Липовая Роща,Спутник ЖК,,
Елена Гончарова,realtor,https://krasnogorsk.cian.ru/sale/flat/307682557/,Красногорск,sale,flat,14,17,1,42.2,9300000.0,,бульвар Павшинский,4,Пенягино,,,
Денис Мазитов,realtor,https://krasnogorsk.cian.ru/sale/flat/306975830/,Красногорск,sale,flat,12,25,2,64.6,9300000.0,,бульвар Космонавтов,7,Опалиха,Изумрудные холмы,,
Рыков Риэлти,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/299320827/,Красногорск,sale,flat,3,8,2,44.95,9250000.0,, Пришвина,5,Опалиха,Опалиха О3,,
Этажи Москва,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307007876/,Красногорск,sale,flat,10,12,1,34.6,9400000.0,,бульвар Серебряный,1,Опалиха,Серебрица,,
Городские Сделки,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/306085653/,Красногорск,sale,flat,22,25,2,49.0,9350000.0,,бульвар Космонавтов,12,Опалиха,Изумрудные холмы,,
Семен Миронов,realtor,https://krasnogorsk.cian.ru/sale/flat/307937082/,Красногорск,sale,flat,4,4,2,59.0,9350000.0,,Вокзальная ,1,Павшино,,,
МИЭЛЬ,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308767405/,Красногорск,sale,flat,14,24,1,41.8,9500000.0,, Игоря Мерлушкина,10,Аникеевка,Изумрудные холмы,,
ГОРОБМЕН,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308109110/,Красногорск,sale,flat,12,26,1,39.0,9500000.0,,бульвар Ильинский,2А,Пенягино,Павшинская пойма мкрн. 4,,
ИНКОМ-Недвижимость,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/300575043/,Красногорск,sale,flat,5,5,2,43.9,9500000.0,,Парковая ,1Г,Митино,Лесная сказка,,
Анна Кислюк,realtor,https://krasnogorsk.cian.ru/sale/flat/302085206/,Красногорск,sale,flat,17,26,2,52.0,9500000.0,,бульвар Космонавтов,5,Опалиха,Изумрудные холмы,,
МИЭЛЬ офис Зеленоград,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307472819/,Красногорск,sale,flat,1,3,1,37.1,9500000.0,,аллея Римского-Корсакова,34,Аникеевка,,,
LaRichesse,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/302883418/,Красногорск,sale,flat,7,24,2,54.2,9500000.0,,бульвар Космонавтов,17,Опалиха,Изумрудные холмы,,
CENTURY 21 Столичная недвижимость,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/305532606/,Красногорск,sale,flat,17,17,1,43.6,9500000.0,,бульвар Павшинский,1,Пенягино,,,
Family Estate,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308006467/,Красногорск,sale,flat,9,10,1,51.3,9500000.0,,Светлая ,9,Опалиха,,,
Юлия Соколова,realtor,https://krasnogorsk.cian.ru/sale/flat/276203142/,Красногорск,sale,flat,5,12,2,54.0,9500000.0,,бульвар Серебряный,2,Опалиха,Серебрица,,
LUXESTATE,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/304769092/,Красногорск,sale,flat,3,17,1,41.4,9500000.0,,Советская ,1,Павшино,Левитан,,
Премиум,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/301294562/,Красногорск,sale,flat,16,17,2,53.4,9649999.0,, 50 лет Октября,7б,Красногорская,,,
Ольга Морозова,realtor,https://krasnogorsk.cian.ru/sale/flat/308345565/,Красногорск,sale,flat,2,12,1,45.0,9600000.0,,Заводская ,4,Павшино,,,
Иннокентий Манякин,realtor,https://krasnogorsk.cian.ru/sale/flat/305244946/,Красногорск,sale,flat,24,33,1,41.6,10000000.0,, Липовой Рощи,1к2,Строгино,Sky Sputnik,,
МИЭЛЬ,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308253075/,Красногорск,sale,flat,2,24,2,42.2,10000000.0,, Игоря Мерлушкина,12,Аникеевка,Изумрудные холмы,,
Замоскворечье,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307253131/,Красногорск,sale,flat,7,24,1,49.0,10000000.0,,бульвар Космонавтов,1,Опалиха,Изумрудные холмы,,
Sunrise,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307606104/,Красногорск,sale,flat,10,12,1,43.0,10200000.0,, Школьная,6,Павшино,,,
Ла Терра,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/302404089/,Красногорск,sale,flat,2,6,1,40.6,10200000.0,,аллея Золотая,4,Опалиха,8 кленов,,
Юлия Алимова,realtor,https://krasnogorsk.cian.ru/sale/flat/300650288/,Красногорск,sale,flat,13,17,2,51.6,10200000.0,,Успенская ,24,Опалиха,,,
Виктория Леонова,realtor,https://krasnogorsk.cian.ru/sale/flat/306302151/,Красногорск,sale,flat,18,25,2,63.0,10200000.0,,бульвар Космонавтов,8,Опалиха,Изумрудные холмы,,
Екатерина Кодневская,realtor,https://krasnogorsk.cian.ru/sale/flat/308074020/,Красногорск,sale,flat,17,17,1,38.0,10200000.0,, Игната Титова,7,Пенягино,,,
ИНКОМ-Недвижимость,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307104883/,Красногорск,sale,flat,5,45,1,31.9,10300000.0,, Авангардная,2,Пенягино,ART,,
Простор-недвижимость,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308630834/,Красногорск,sale,flat,14,16,1,42.43,10300000.0,, Спасская,4,Пенягино,,,
Владис,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/300573337/,Красногорск,sale,flat,8,25,1,50.0,10250000.0,, Вилора Трифонова,1,Опалиха,,,
Лилия Юша,realtor,https://krasnogorsk.cian.ru/sale/flat/306413467/,Красногорск,sale,flat,6,16,2,53.4,10250000.0,, Вилора Трифонова,6,Опалиха,,,
Городской Центр Недвижимости,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/299185647/,Красногорск,sale,flat,4,4,2,71.8,10280000.0,,Октябрьская ,7,Павшино,,,
МИЭЛЬ,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307574563/,Красногорск,sale,flat,15,25,1,39.0,10400000.0,,бульвар Красногорский,6,Пенягино,,,
МИЭЛЬ,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308107579/,Красногорск,sale,flat,14,22,1,50.0,10350000.0,,бульвар Подмосковный,11,Пенягино,,,
Керим Керимов,realtor,https://krasnogorsk.cian.ru/sale/flat/305752368/,Красногорск,sale,flat,4,10,2,51.9,10400000.0,, Дежнева,6,Опалиха,,,
Этажи Москва,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307277794/,Красногорск,sale,flat,42,45,1,46.6,10500000.0,, Авангардная,10,Пенягино,ART,,
Геометрия,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/296817494/,Красногорск,sale,flat,15,25,2,57.6,10499000.0,,бульвар Космонавтов,13,Опалиха,Изумрудные холмы,,
Зимфира Перминова,realtor,https://krasnogorsk.cian.ru/sale/flat/307605935/,Красногорск,sale,flat,6,27,1,40.0,10500000.0,, Молодежная,4,Пенягино,Молодежный (Красногорск),,
Владис,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/299328349/,Красногорск,sale,flat,14,22,1,50.8,11000000.0,,бульвар Подмосковный,11,Пенягино,,,
PORTAL ESTATE,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307000194/,Красногорск,sale,flat,6,19,1,47.7,11000000.0,,Речная ,20к2,Митино,Красногорская Ривьера,,
ЕГСН Продажа,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307391750/,Красногорск,sale,flat,18,25,2,51.4,11000000.0,, Молодежная,4,Пенягино,Молодежный (Красногорск),,
Исток,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308231625/,Красногорск,sale,flat,10,33,1,38.2,11000000.0,, Видная,1,Митино,Митино парк,,
Just Estate,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/302240742/,Красногорск,sale,flat,6,24,2,58.2,11000000.0,,бульвар Космонавтов,4к1,Опалиха,Изумрудные холмы,,
Сергей Вячеславович Ермаков,realtor,https://krasnogorsk.cian.ru/sale/flat/307086901/,Красногорск,sale,flat,11,14,2,64.1,11000000.0,,Успенская ,8,Красногорская,,,
Вертекс,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/302073478/,Красногорск,sale,flat,16,19,1,46.4,11000000.0,,Речная ,20к2,Митино,Красногорская Ривьера,,
Марина Качалова,realtor,https://krasnogorsk.cian.ru/sale/flat/289488138/,Красногорск,sale,flat,29,33,2,38.0,11000000.0,, Большая Воскресенская,1,Павшино,Тетрис,,
Контакт Недвижимость,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308122974/,Красногорск,sale,flat,21,26,2,58.0,11200000.0,,бульвар Космонавтов,11,Опалиха,Изумрудные холмы,,
Самолет Плюс,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/306564231/,Красногорск,sale,flat,28,34,2,49.85,11200000.0,,,к15,Липовая Роща,Спутник ЖК,,
Место,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308860097/,Красногорск,sale,flat,10,17,1,42.3,11299000.0,,бульвар Красногорский,19,Липовая Роща,,,
Оксана Александрова,realtor,https://krasnogorsk.cian.ru/sale/flat/303398787/,Красногорск,sale,flat,27,32,1,40.9,11200000.0,, Липовой Рощи,2к1,Мякинино,Sky Sputnik,,
Вотчина,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/303681832/,Красногорск,sale,flat,27,30,1,38.0,11200000.0,, Большая Воскресенская,1,Павшино,Тетрис,,
Вотчина,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307224695/,Красногорск,sale,flat,27,30,2,38.0,11200000.0,, Большая Воскресенская,1,Павшино,Тетрис,,
Дом+,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308057010/,Красногорск,sale,flat,3,17,1,42.0,11200000.0,, Спасская,1к3,Пенягино,Спасский Мост,,
Марат Мкртумов,realtor,https://krasnogorsk.cian.ru/sale/flat/308860606/,Красногорск,sale,flat,7,12,2,55.3,11300000.0,, Ленина,5,Красногорская,,,
Дом+,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/297644756/,Красногорск,sale,flat,9,19,1,42.0,11300000.0,, Спасская,1к3,Пенягино,Спасский Мост,,
Мои Столицы - Центр,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307660967/,Красногорск,sale,flat,6,17,2,51.3,11300000.0,, Имени Зверева,6,Пенягино,,,
ЕСН,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307986534/,Красногорск,sale,flat,10,17,1,42.0,11300000.0,,бульвар Красногорский,19,Липовая Роща,,,
Самолет Плюс Мытищи,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/300440232/,Красногорск,sale,flat,22,24,1,32.7,11300000.0,,,к2,Липовая Роща,Квартал Строгино ЖК,,
Александр Зернов,realtor,https://krasnogorsk.cian.ru/sale/flat/307544315/,Красногорск,sale,flat,23,23,1,49.3,11300000.0,,Заводская ,18к3,Павшино,мкрн. Южный (Ул. Заводская корп. 31),,
ID 71259408,realtor,https://krasnogorsk.cian.ru/sale/flat/306506791/,Красногорск,sale,flat,6,22,2,58.0,11300000.0,,бульвар Южный,6,Павшино,,,
EstateLiga,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/303835668/,Красногорск,sale,flat,12,34,2,50.0,11500000.0,,,к15,Липовая Роща,Спутник ЖК,,
ЕГСН Продажа,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/306313307/,Красногорск,sale,flat,6,12,2,57.9,11500000.0,, Ткацкой фабрики,23,Аникеевка,,,
ИНКОМ-Недвижимость,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308566280/,Красногорск,sale,flat,9,44,2,44.3,11500000.0,, Авангардная,10,Пенягино,ART,,
НДВ,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307182247/,Красногорск,sale,flat,5,8,2,60.5,11500000.0,,бульвар Серебряный,4,Опалиха,Серебрица,,
Landis,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308095874/,Красногорск,sale,flat,24,25,2,35.6,11500000.0,, Молодежная,4,Пенягино,Молодежный (Красногорск),,
Монолит Столица,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/306512571/,Красногорск,sale,flat,19,23,2,46.0,11500000.0,, Спасская,1к2,Пенягино,Спасский Мост,,
Александр Филатов,realtor,https://krasnogorsk.cian.ru/sale/flat/307019716/,Красногорск,sale,flat,2,10,2,49.0,11500000.0,, Дежнева,6,Опалиха,,,
Михаил Мальцев,realtor,https://krasnogorsk.cian.ru/sale/flat/304155928/,Красногорск,sale,flat,2,25,1,52.2,11490000.0,,бульвар Подмосковный,14,Мякинино,Павшинская пойма мкр. 2,,
Татьяна Зрелова,realtor,https://krasnogorsk.cian.ru/sale/flat/308760185/,Красногорск,sale,flat,19,25,2,63.3,11490000.0,,бульвар Космонавтов,8,Опалиха,Изумрудные холмы,,
ГОРОБМЕН,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307429770/,Красногорск,sale,flat,7,17,2,60.1,11600000.0,,бульвар Красногорский,13к1,Пенягино,,,
ПОМИДОР-Недвижимость,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/306272719/,Красногорск,sale,flat,25,26,2,62.3,11600000.0,, Игоря Мерлушкина,3,Опалиха,Изумрудные холмы,,
Александра Сорокина,realtor,https://krasnogorsk.cian.ru/sale/flat/308254708/,Красногорск,sale,flat,25,25,2,62.0,11600000.0,Красногорск, Игоря Мерлушкина,3,,Изумрудные холмы,,
НДВ,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/301717179/,Красногорск,sale,flat,8,17,1,38.0,11700000.0,,бульвар Подмосковный,3,Пенягино,,,
Дом+,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/293530499/,Красногорск,sale,flat,13,25,1,50.0,11699999.0,, Жуковского,19,Павшино,RED HILLS,,
Татьяна Феликсова,realtor,https://krasnogorsk.cian.ru/sale/flat/304734232/,Красногорск,sale,flat,3,8,2,48.0,11650000.0,, Пришвина,2,Опалиха,Опалиха О3,,
Покупатель,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/305327323/,Красногорск,sale,flat,5,6,2,46.1,11800000.0,, Пришвина,9,Опалиха,Опалиха О3,,
Наталья Тамахина,realtor,https://krasnogorsk.cian.ru/sale/flat/307782422/,Красногорск,sale,flat,9,15,1,41.0,11800000.0,,бульвар Красногорский,23к1,Волоколамская,Спасский Мост,,
Вертекс,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308072008/,Красногорск,sale,flat,10,17,2,52.0,11800000.0,, Пушкинская,21,Красногорская,,,
Альфа недвижимость,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/305599163/,Красногорск,sale,flat,12,17,2,65.0,11800000.0,,Успенская ,32,Павшино,,,
На Петровке,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/302899729/,Красногорск,sale,flat,9,10,2,49.8,11990000.0,,Железнодорожная ,38,Красногорская,,,
Ирина Берёзкина,realtor,https://krasnogorsk.cian.ru/sale/flat/302116952/,Красногорск,sale,flat,5,19,1,37.9,11900000.0,,бульвар Красногорский,23к3,Мякинино,Спасский Мост,,
CENTURY 21 Столичная недвижимость,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/305393450/,Красногорск,sale,flat,18,18,1,50.6,11990000.0,,бульвар Подмосковный,8,Пенягино,,,
Евгений Беляков,realtor,https://krasnogorsk.cian.ru/sale/flat/300895145/,Красногорск,sale,flat,5,17,2,60.3,11900000.0,,бульвар Павшинский,4,Пенягино,,,
Олег Финогеев,realtor,https://krasnogorsk.cian.ru/sale/flat/307965396/,Красногорск,sale,flat,25,25,1,39.0,11900000.0,,бульвар Красногорский,26,Мякинино,Павшинская пойма мкрн. 4,,
EstateLiga,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/303835667/,Красногорск,sale,flat,12,34,2,56.0,12000000.0,,,к15,Липовая Роща,Спутник ЖК,,
Татьяна Старовойт,realtor,https://krasnogorsk.cian.ru/sale/flat/303611149/,Красногорск,sale,flat,17,17,2,60.3,12000000.0,,бульвар Красногорский,13к2,Пенягино,,,
Серебряный век,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/307965286/,Красногорск,sale,flat,2,24,2,64.9,12000000.0,,бульвар Космонавтов,1,Опалиха,Изумрудные холмы,,
СмениКварти.Ру,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/308671152/,Красногорск,sale,flat,1,9,2,50.0,12000000.0,, Дежнева,11,Опалиха,Опалиха О2,,
Держава,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/303279245/,Красногорск,sale,flat,34,45,1,36.7,12000000.0,, Авангардная,10,Пенягино,ART,,
МИЭЛЬ,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/304958876/,Красногорск,sale,flat,15,18,1,47.6,12000000.0,,Успенская ,12,Красногорская,,,
Валентина Лысова,realtor,https://krasnogorsk.cian.ru/sale/flat/303715790/,Красногорск,sale,flat,5,15,2,60.0,12000000.0,,бульвар Павшинский,36,Пенягино,,,
Дельта,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/304190010/,Красногорск,sale,flat,19,30,2,41.4,12000000.0,,,24,Липовая Роща,Спутник ЖК,,
Владис,real_estate_agent,https://krasnogorsk.cian.ru/sale/flat/306473793/,Красногорск,sale,flat,40,44,2,42.7,12000000.0,, Авангардная,8,Пенягино,ART,,
Антон Просеков,realtor,https://krasnogorsk.cian.ru/sale/flat/308943293/,Красногорск,sale,flat,22,25,2,59.0,12000000.0,,бульвар Космонавтов,7,Опалиха,Изумрудные холмы,,
Александр Табунов,realtor,https://krasnogorsk.cian.ru/sale/flat/307278868/,Красногорск,sale,flat,8,16,2,60.0,12900000.0,,бульвар Павшинский,5,Пенягино,,,
